0       H       0.9233630544
1       He      0.0757482308
2       C       0.0002663008
3       N       0.0000624270
4       O       0.0004522437
5       F       0.0000000000
6       Ne      0.0000000000
7       Na      0.0000015324
8       Mg      0.0000327622
9       Al      0.0000024853
10      Si      0.0000298794
11      P       0.0000002373
12      S       0.0000121723
13      Cl      0.0000000000
14      Ar      0.0000000000
15      K       0.0000001085
16      Ca      0.0000018424
17      Ti      0.0000000862
18      V       0.0000000073
19      Cr      0.0000000000
20      Mn      0.0000000000
21      Fe      0.0000266301
22      Ni      0.0000000000
